1	44
1	40
1	40
1	40
1	40
1	122
1	40
1	40
1	247
1	40
1	40
1	40
1	44
1	447
1	63
1	40
1	40
5	300
8	364
1	40
1	63
1	40
1	40
1	132
1	40
1	40
1	40
1	40
1	956
1	40
1	40
1	40
1	40
23	6777
1	40
1	40
1	40
1	56
4	240
1	40
4	240
20	10665
1	122
1	40
1	40
1	40
1	40
1	40
1	40
4	240
1	40
2	96
1	44
3	180
1	40
1	121
1	40
1	71
1	40
1	40
2	96
1	40
1	57
1	40
1	44
1	40
1	40
1	40
3	180
1	56
4	240
1	40
1	40
1	40
1	32
1	40
1	40
1	60
1	40
1	122
1	44
1	40
1	444
1	44
1	40
1	40
1	40
1	73
1	40
1	40
1	40
1	40
1	40
1	40
1	40
1	40
1	40
1	40
1	44
1	40
1	57
1	44
1	44
1	44
10	592
1	40
1	163
1	40
1	40
1	552
1	40
1	48
1	63
1	40
3	572
1	446
1	40
1	40
1	40
1	69
6	357
1	40
1	56
1	57
1	40
1	40
1	44
1	40
1	40
1	122
1	40
1	56
1	442
1	44
1	40
1	40
1	69
1	40
1	74
1	40
1	150
3	152
1	40
1	40
2	96
1	40
1	40
3	152
2	96
1	40
1	68
1	40
1	552
1	436
1	32
1	40
1	40
1	40
1	40
27037	39563775
1	57
1	40
32	5310
1	40
1	131
1	44
1	40
1	40
1	40
1	40
1	122
1	40
1	40
1	40
1	40
1	40
1	40
1	40
1	40
1	44
1	56
1	44
1	131
2	96
1	40
1	60
1	57
1	107
1	44
2	120
8	733
2	96
1	40
6	308
2	96
1	57
1	76
1	40
1	40
1	32
1	40
1	40
1	40
1	180
1	32
4	240
1	69
1	40
1	44
8	464
1	440
1	40
2	104
1	87
1	447
2	96
1	40
2	96
1	75
3	152
1	44
4	216
1	40
1	52
1	52
1	44
2	104
1	40
6	981
1	40
1	40
6	310
1	44
2	96
1	40
1	32
1	68
1	44
2	96
2	104
1	40
4	240
4	240
1	40
1	40
1	40
1	48
1	40
1	40
1	44
1	40
1	132
1	40
1	40
1	40
1	44
1	40
1	436
1	552
141	206325
1	52
1	472
2	96
1	40
